Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Bootcamp,Wednesday June 3,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2020751
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- Turbo,Wednesday June 3,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1875571
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Wednesday June 3,,,7:00 pm - 9:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1928461
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Yoga,Wednesday June 3,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408783
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga,Wednesday June 3,,,7:00 pm - 7:55 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429524
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Wednesday June 3,,,7:30 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2006536
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Lane Swim,Wednesday June 3,,,7:30 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1628511
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Wednesday June 3,,,8:00 pm - 9:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1930856
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Volleyball (Adult),Wednesday June 3,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1983011
Hintonburg Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hintonburg-community-centre,Ball Hockey,Wednesday June 3,,,8:30 pm - 10:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1725121
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Wednesday June 3,,,8:30 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2006041
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Wednesday June 3,,,9:00 pm - 10:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871371
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Wednesday June 3,,,9:00 pm - 10:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873171
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Volleyball (Adult),Wednesday June 3,,,9:00 pm - 10:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1983141
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Thursday June 4,,,6:00 am - 4:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1927611
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Thursday June 4,,,6:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1453931
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Thursday June 4,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873896
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- Turbo,Thursday June 4,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1633191
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Thursday June 4,,,7:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1870531
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Thursday June 4,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871616
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Thursday June 4,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1631061
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General Lite *Heartwise,Thursday June 4,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2059436
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Cardio and Strength,Thursday June 4,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1974236
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- General,Thursday June 4,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1960011
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Thursday June 4,,,9:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2003096
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Thursday June 4,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2023521
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Thursday June 4,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1631906
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Indoor Cycling- Interval,Thursday June 4,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1431182
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength,Thursday June 4,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428812
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Zumba®,Thursday June 4,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021541
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball,Thursday June 4,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1901731
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball (Older Adult),Thursday June 4,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1903246
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Cardio and Strength Older Adult,Thursday June 4,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2020046
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Kindergym,Thursday June 4,,,9:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1921281
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- Turbo,Thursday June 4,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407487
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Zumba®,Thursday June 4,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408517
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Zumba® Gold Older Adult,Thursday June 4,,,9:45 am - 10:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2042996
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball,Thursday June 4,,,9:45 am - 11:15 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1850076
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,50+ Swim,Thursday June 4,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1452281
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General Lite,Thursday June 4,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2023766
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Thursday June 4,,,10:00 am - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2026046
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Kindergym,Thursday June 4,,,10:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1982491
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Zumba®,Thursday June 4,,,10:00 am - 10:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429020
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Yoga,Thursday June 4,,,10:20 am - 11:20 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021216
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Pickleball,Thursday June 4,,,10:30 am - 12:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1425120
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Public Swim,Thursday June 4,,,10:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1941656
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength Older Adult,Thursday June 4,,,10:30 am - 11:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429148
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Thursday June 4,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1452701
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Thursday June 4,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028921
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pilates Older Adult,Thursday June 4,,,11:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2042131
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Basketball (Adult),Thursday June 4,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1901271
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Thursday June 4,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2008481
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Thursday June 4,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2004196
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Thursday June 4,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1929896
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton,Thursday June 4,,,11:45 am - 1:15 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423704
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Table Tennis (Adult),Thursday June 4,,,11:45 am - 1:15 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423798
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Stretch and Strength,Thursday June 4,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1367284
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga Older Adult,Thursday June 4,,,12:00 pm - 12:55 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430165
Hintonburg Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hintonburg-community-centre,Pickleball,Thursday June 4,,,12:15 pm - 2:15 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1724801
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Thursday June 4,,,1:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2004811
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General Lite,Thursday June 4,,,1:00 pm - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1876051
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General,Thursday June 4,,,1:00 pm - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407043
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Badminton,Thursday June 4,,,1:00 pm - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430511
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Pickleball,Thursday June 4,,,1:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1980416
